Site,PD,FS,RecID,Taxon,Element,Part,Side,ProxAntFusion,DistPostFusion,ProxAntBreak,DistPostBreak,Burning,Gnawing,Butchering,Modification1,Modification2,Modification3,Length,Thickness,Comments,Item,JDNum,RefitFrags,SUNum,FAPCode,FATCode,SUTypCode,SUDescCode,ComponID,FeNum,FeTypCode
5MT123,0,8,2433,UNI,UN,2,U,N,N,T,T,B,NA,NA,B,NA,NA,1,NA,NA,NA,0,1,0000,NA,NA,GEN,35,NA,NA,NA
5MT123,2,6,17963,LEP,MT,100,L,F,N,I,S,NA,NA,NA,E,NA,NA,5,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17964,UNI,UN,2,U,N,N,T,T,L,NA,NA,L,E,NA,2,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17965,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,4,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17966,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,4,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17967,UNI,UN,2,U,N,N,P,P,NA,NA,NA,E,NA,NA,4,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17968,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,3,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17969,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,2,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17970,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,2,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17971,UNI,UN,2,U,N,N,T,T,W,NA,NA,W,NA,NA,1,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17972,UNI,UN,2,U,N,N,T,T,W,NA,NA,W,NA,NA,1,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17973,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,1,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,2,6,17974,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,1,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17975,MEG,TI,108,U,N,F,V,V,NA,NA,NA,E,NA,NA,2,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17976,MEG,SC,80,L,F,N,V,V,NA,NA,NA,E,NA,NA,4,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17977,LAG,MN,33,U,N,N,V,V,NA,NA,NA,E,NA,NA,3,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17978,LEP,RA,105,L,N,F,E,I,NA,NA,NA,E,NA,NA,4,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17979,LEP,UL,102,L,F,N,I,T,L,NA,NA,L,NA,NA,1,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17980,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,4,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17981,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,3,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17982,UNI,UN,2,U,N,N,P,P,NA,NA,NA,E,NA,NA,3,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17983,UNI,UN,2,U,N,N,P,P,NA,NA,NA,E,NA,NA,3,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17984,UNI,UN,2,U,N,N,T,T,W,NA,NA,W,NA,NA,1,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17985,UNI,UN,2,U,N,N,T,T,W,NA,NA,W,NA,NA,1,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17986,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,2,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17987,UNI,UN,2,U,N,N,V,V,NA,NA,NA,E,NA,NA,1,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17988,UNI,UN,2,U,N,N,T,T,B,NA,NA,B,NA,NA,1,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,4,6,17989,UNI,UN,2,U,N,N,S,S,NA,NA,NA,E,NA,NA,3,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,6,6,17990,UNI,UN,2,U,N,N,T,T,W,NA,NA,W,NA,NA,2,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,6,6,17991,UNI,UN,2,U,N,N,T,T,W,NA,NA,W,NA,NA,2,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,8,8,17992,MEG,PH,1,U,F,F,I,I,NA,NA,NA,E,NA,NA,3,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,8,8,17993,MIC,MN,1,L,N,N,I,I,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
5MT123,8,8,17994,UNI,UN,2,U,N,N,T,T,B,NA,NA,B,NA,NA,1,1,NA,NA,0,1,501,38,12,NST,30,12,NA,NA
