ID,Lot,Period,Species,Elem,Side,Con,Frag,Prox,Ant,Lat,Dor,Fus,Burn,Weathering,Gnawing,Mod,Butch,Weight (gm),Comment
5061,27,L,14,72,2,6,1,5,1,1,99,3,5,7,7,7,NA,14.6,NA
10913,957,L,18,151,2,1,9,1,1,1,99,1,5,7,7,7,NA,NA,NA
49,30,E,16,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
1825,1004,E,6,62,2,1,9,1,9,NA,99,1,5,7,7,7,NA,NA,NA
575,32,E,6,150,88,1,9,1,9,NA,99,1,5,7,7,7,NA,NA,NA
637,42,UNK,6,75,1,1,3,1,9,NA,99,1,5,7,7,7,NA,NA,NA
2963,10,I,160,72,1,1,9,1,9,NA,99,4,5,7,7,7,3,NA,NA
15273,49,UNK,6,152,1,1,9,1,99,99,99,1,5,7,7,7,NA,NA,NA
15726,180,L,47,53,99,1,9,NA,NA,NA,NA,1,5,7,7,7,NA,0.1,NA
6477,294,L,47,71,1,1,9,1,1,1,99,1,5,7,7,7,NA,0.4,NA
15720,168,L,47,53,99,1,9,NA,NA,NA,NA,1,5,7,7,7,NA,0.1,NA
15724,172,L,47,53,99,1,9,NA,NA,NA,NA,1,5,7,7,7,NA,0.1,NA
15641,294,L,47,53,99,1,9,NA,NA,NA,NA,1,5,7,7,7,NA,0.1,NA
15822,182,L,47,53,99,1,9,NA,NA,NA,NA,1,5,7,7,7,NA,0.1,NA
15647,619,L,47,53,99,1,9,NA,NA,NA,NA,1,5,7,7,7,NA,0.1,NA
15685,442,I,47,53,99,1,9,NA,NA,NA,NA,1,5,7,7,7,NA,0.1,NA
8364,940,L,47,72,2,1,9,1,1,1,99,1,5,7,7,7,NA,0.4,NA
6574,608,L,47,72,2,1,9,1,1,1,99,1,5,7,7,7,NA,NA,NA
9113,809,L,47,70,2,1,9,1,1,1,99,1,5,7,7,7,NA,0.9,NA
9112,862,L,47,70,2,1,9,1,1,1,99,1,5,7,7,7,NA,0.8,NA
5566,282,L,47,70,2,1,9,1,1,1,99,1,5,7,7,7,NA,1,NA
6487,297,L,47,71,2,1,9,1,1,1,99,1,5,7,7,7,NA,0.3,NA
5933,227,E,18,95,1,1,9,1,9,9,99,1,5,7,7,7,NA,7.2,NA
10930,958,L,18,151,1,1,9,1,1,1,NA,1,5,7,7,7,NA,NA,NA
3860,726,L,79,17,2,4,4,99,9,NA,99,1,5,7,7,7,3,NA,NA
6401,522,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,7.3,NA
75,25,L,45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
138,23,L,47,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
96,225,E,45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
7358,1010,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,6.3,NA
7359,1010,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,7.7,NA
77,23,L,45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
13357,57,UNK,45,115,1,1,9,16,9,9,99,3,5,7,7,7,NA,NA,NA
38,28,E,45,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
76,24,L,45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
5481,236,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,7.5,NA
6397,239,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,8.2,NA
74,23,L,45,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
6398,503,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,5.7,NA
117,23,L,47,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
5479,508,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,8.9,NA
6399,519,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,6,NA
73,236,E,16,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
15200,863,I,47,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,0.2,NA
6396,646,E,18,151,1,1,9,1,1,1,99,1,5,7,7,7,NA,7.3,NA
6141,166,L,18,115,1,1,9,16,9,9,99,3,5,7,7,7,NA,4.3,NA
