Lot,Period,Spec,Elem,Side,Con,Frag,Prox,Dor,Fus,Burn,Weathering,Gnawing,Mod,Butch,Sex,Wght,MNE,#,Notes
169,UNK,1,60,88,7,1,10,99,88,5,7,7,1,3,8,5.1,1,1,NA
125,I,2,60,88,7,1,10,99,88,5,7,7,1,3,8,1.5,1,1,NA
508,UNK,2,60,88,7,1,10,99,88,5,7,7,1,3,8,3.2,1,1,NA
228,E,2,800,88,7,1,10,99,88,5,7,7,1,3,8,4.5,1,1,NA
568,UNK,2,800,88,7,1,88,99,88,5,7,7,1,3,8,0.2,1,1,NA
455,L2,2,888,88,8,1,88,99,88,5,7,7,1,3,8,1.2,1,1,NA
565,I2,4,60,88,6,2,88,99,88,5,7,7,1,3,8,0.2,1,1,NA
538,L2,4,800,88,7,1,10,99,88,5,7,7,1,3,8,0.3,1,1,NA
210,L2,5,60,88,7,3,10,99,88,5,7,7,1,3,8,4.5,1,1,NA
644,I1,5,800,88,7,1,10,99,88,5,7,7,1,3,8,2.9,1,1,NA
49,L2,6,51,99,1,9,99,1,1,5,7,7,1,3,8,81.4,1,1,NA
643,E,6,60,88,6,1,10,99,88,2,7,7,1,3,8,3.2,1,1,NA
685,I1,6,60,88,6,2,10,99,88,5,7,7,1,3,8,1,1,1,NA
492,L2,6,67,88,7,2,10,99,88,5,7,7,1,3,8,5.6,8,1,NA
500,E,181,888,88,7,1,10,99,88,5,7,7,1,3,8,0.2,1,1,NA
516,UNK,182,888,88,6,1,10,99,88,5,7,7,1,3,8,0.1,1,1,NA
97,L2,3,800,88,7,1,10,99,88,5,7,2,2,3,8,0.7,1,1,NA
489,L2,6,66,99,5,1,99,1,1,5,7,2,2,3,1,14.8,1,1,NA
685,I1,6,102,1,6,2,10,99,88,5,7,2,2,3,8,16,1,1,NA
685,I1,6,154,88,4,1,15,99,1,2,7,2,2,3,8,0.7,1,1,NA
112,UNK,16,126,1,5,1,1,99,1,5,7,2,2,3,8,4.1,1,1,2 pieces
140,L2,16,136,88,7,1,14,99,1,5,7,2,2,3,8,14.7,1,1,NA
350,E,16,136,88,7,1,88,99,88,5,7,2,2,3,8,2.8,1,1,NA
260,I,18,39,1,5,1,99,99,1,5,7,2,2,3,8,21.9,1,1,NA
287,L1,18,152,1,3,1,1,99,1,5,7,2,2,3,8,1.7,1,1,NA
