Site,PD,FS,RecID,Taxon,Element,Part,Side,ProxAntFusion,DistPostFusion,ProxAntBreak,DistPostBreak,Burning,Gnawing,Butchering,Modification1,Modification2,Modification3,Length,Thickness,Comments,Item,JDNum,RefitFrags,SUNum,FAPCode,FATCode,SUTypCode,SUDescCode,ComponID,FeNum,FeTypCode
5MT3807,0,3,26,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,1,NA,NA,26,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,27,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,2,NA,NA,27,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,28,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,1,NA,NA,28,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,29,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,2,NA,NA,29,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,30,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,1,NA,NA,30,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,31,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,2,NA,NA,31,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,32,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,2,NA,NA,32,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,33,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,1,NA,NA,33,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,34,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,2,NA,NA,34,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,35,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,2,NA,NA,35,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,36,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,1,NA,NA,36,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,37,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,37,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,38,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,38,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,39,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,39,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,40,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,40,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,41,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,41,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,42,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,42,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,43,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,43,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,44,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,44,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,45,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,45,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,46,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,46,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,47,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,47,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,48,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,48,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,49,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,49,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,50,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,50,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,51,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,51,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,52,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,52,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,53,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,53,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,54,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,54,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,55,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,55,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,56,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,56,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,57,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,57,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,58,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,58,1,1901,17,52,ARB,35,14,NA,NA
5MT3807,0,3,59,UNI,UN,2,U,N,N,T,T,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,59,1,1901,17,52,ARB,35,14,NA,NA
