Site,PD,FS,RecID,Taxon,Element,Part,Side,ProxAntFusion,DistPostFusion,ProxAntBreak,DistPostBreak,Burning,Gnawing,Butchering,Modification1,Modification2,Modification3,Length,Thickness,Comments,Item,JDNum,RefitFrags,SUNum,FAPCode,FATCode,SUTypCode,SUDescCode,ComponID,FeNum,FeTypCode
5MT11842,8,5,1,MEG,SC,81,L,N,N,V,V,NA,C,NA,C,NA,NA,8,0,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,8,5,2,UNI,UN,2,U,N,N,V,T,W,NA,NA,W,NA,NA,2,0,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,8,5,3,UNI,UN,2,U,N,N,V,V,NA,C,NA,C,NA,NA,2,0,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,8,5,4,LBI,SS,2,U,N,N,V,V,NA,C,NA,C,NA,NA,4,0,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,15,3,1,SYL,LU,53,I,F,F,I,V,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,15,3,2,UNI,UN,2,U,N,N,V,D,NA,NA,NA,NA,NA,NA,3,2,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,18,3,1,LBI,FE,110,U,N,N,S,V,NA,C,NA,C,NA,NA,4,1,NA,NA,0,NA,1.7-N,41,10,NST,34,2,NA,NA
5MT11842,18,3,2,UNI,UN,2,U,N,N,V,V,NA,C,NA,C,NA,NA,3,1,NA,NA,0,NA,1.7-N,41,10,NST,34,2,NA,NA
5MT11842,18,3,3,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,1.7-N,41,10,NST,34,2,NA,NA
5MT11842,18,4,1,LBI,TI,110,R,N,N,E,V,NA,NA,NA,NA,NA,NA,5,1,NA,NA,0,NA,1.7-N,41,10,NST,34,2,NA,NA
5MT11842,19,10,1,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,4,1,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,19,10,2,UNI,UN,2,U,N,N,V,S,NA,NA,NA,NA,NA,NA,3,1,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,19,10,3,UNI,UN,2,U,N,N,S,V,NA,NA,NA,NA,NA,NA,4,1,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,19,10,4,UNI,UN,2,U,N,N,S,S,NA,NA,NA,NA,NA,NA,3,2,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,19,10,5,SYL,UL,1,L,F,F,I,I,NA,NA,NA,NA,NA,NA,7,0,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
5MT11842,19,10,6,SYL,RA,101,L,F,N,V,V,NA,NA,NA,NA,NA,NA,5,1,NA,NA,0,NA,1.1-N,48,51,NST,30,2,NA,NA
