Site,PD,FS,RecID,Taxon,Element,Part,Side,ProxAntFusion,DistPostFusion,ProxAntBreak,DistPostBreak,Burning,Gnawing,Butchering,Modification1,Modification2,Modification3,Length,Thickness,Comments,Item,JDNum,RefitFrags,SUNum,FAPCode,FATCode,SUTypCode,SUDescCode,ComponID,FeNum,FeTypCode
5MT5,1,6,2,UNI,UN,2,U,N,N,E,E,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,9000,98,98,GEN,35,NA,NA,NA
5MT5,5,8,5,UNI,UN,2,U,N,N,V,V,B,NA,NA,B,NA,NA,2,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,8,6,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,8,7,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,3,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,8,8,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,9,LEP,MX,1,R,N,N,V,V,NA,NA,NA,NA,NA,NA,3,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,10,LEP,MT,102,R,F,N,I,V,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,11,SYL,MX,7,U,N,N,V,V,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,12,GAL,TI,107,R,N,F,V,I,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,33,UNI,UN,2,U,N,N,D,V,NA,NA,NA,NA,NA,NA,3,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,34,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,35,UNI,UN,2,U,N,N,T,V,B,R,NA,B,R,NA,2,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,36,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,3,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,37,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,3,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,38,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,39,UNI,UN,2,U,N,N,T,V,B,NA,NA,B,NA,NA,1,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,40,UNI,UN,2,U,N,N,V,V,B,NA,NA,B,NA,NA,2,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,41,UNI,UN,2,U,N,N,P,V,B,NA,NA,B,NA,NA,2,2,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,42,UNI,UN,2,U,N,N,S,V,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,43,UNI,UN,2,U,N,N,P,T,W,NA,NA,W,NA,NA,2,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,44,UNI,UN,2,U,N,N,S,V,NA,NA,NA,NA,NA,NA,3,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,45,UNI,UN,2,U,N,N,S,S,NA,NA,NA,NA,NA,NA,3,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,46,UNI,UN,2,U,N,N,V,V,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,47,UNI,UN,2,U,N,N,V,D,B,NA,NA,B,NA,NA,3,2,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,48,UNI,UN,2,U,N,N,T,V,B,NA,NA,B,NA,NA,2,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
5MT5,5,12,49,UNI,UN,2,U,N,N,V,V,B,NA,NA,B,NA,NA,3,1,NA,NA,0,NA,900,48,30,ARB,35,NA,NA,NA
